{'hand': 'AJAAA', 'type': 1, 'hand_card_ranks': [0, 12, 0, 0, 0], 'bet': '521'}
{'hand': 'JJJJJ', 'type': 1, 'hand_card_ranks': [12, 12, 12, 12, 12], 'bet': '64'}
{'hand': 'AAA3A', 'type': 2, 'hand_card_ranks': [0, 0, 0, 10, 0], 'bet': '938'}
{'hand': 'AA8AA', 'type': 2, 'hand_card_ranks': [0, 0, 5, 0, 0], 'bet': '98'}
{'hand': 'AA4AJ', 'type': 2, 'hand_card_ranks': [0, 0, 9, 0, 12], 'bet': '660'}
{'hand': 'AA2AA', 'type': 2, 'hand_card_ranks': [0, 0, 11, 0, 0], 'bet': '491'}
{'hand': 'AAJAK', 'type': 2, 'hand_card_ranks': [0, 0, 12, 0, 1], 'bet': '544'}
{'hand': 'AAJ9A', 'type': 2, 'hand_card_ranks': [0, 0, 12, 4, 0], 'bet': '157'}
{'hand': 'AAJ7A', 'type': 2, 'hand_card_ranks': [0, 0, 12, 6, 0], 'bet': '467'}
{'hand': 'AKAAA', 'type': 2, 'hand_card_ranks': [0, 1, 0, 0, 0], 'bet': '529'}
{'hand': 'AQQQQ', 'type': 2, 'hand_card_ranks': [0, 2, 2, 2, 2], 'bet': '683'}
{'hand': 'ATAAA', 'type': 2, 'hand_card_ranks': [0, 3, 0, 0, 0], 'bet': '253'}
{'hand': 'A7AAA', 'type': 2, 'hand_card_ranks': [0, 6, 0, 0, 0], 'bet': '220'}
{'hand': 'A6AAA', 'type': 2, 'hand_card_ranks': [0, 7, 0, 0, 0], 'bet': '97'}
{'hand': 'A4AAA', 'type': 2, 'hand_card_ranks': [0, 9, 0, 0, 0], 'bet': '565'}
{'hand': 'AJ33J', 'type': 2, 'hand_card_ranks': [0, 12, 10, 10, 12], 'bet': '743'}
{'hand': 'KKAKK', 'type': 2, 'hand_card_ranks': [1, 1, 0, 1, 1], 'bet': '913'}
{'hand': 'KKK9K', 'type': 2, 'hand_card_ranks': [1, 1, 1, 4, 1], 'bet': '703'}
{'hand': 'KKK2K', 'type': 2, 'hand_card_ranks': [1, 1, 1, 11, 1], 'bet': '6'}
{'hand': 'KKKJ5', 'type': 2, 'hand_card_ranks': [1, 1, 1, 12, 8], 'bet': '58'}
{'hand': 'KTTTT', 'type': 2, 'hand_card_ranks': [1, 3, 3, 3, 3], 'bet': '620'}
{'hand': 'K9J99', 'type': 2, 'hand_card_ranks': [1, 4, 12, 4, 4], 'bet': '356'}
{'hand': 'K8KKK', 'type': 2, 'hand_card_ranks': [1, 5, 1, 1, 1], 'bet': '654'}
{'hand': 'K8888', 'type': 2, 'hand_card_ranks': [1, 5, 5, 5, 5], 'bet': '985'}
{'hand': 'K3333', 'type': 2, 'hand_card_ranks': [1, 10, 10, 10, 10], 'bet': '888'}
{'hand': 'KJ777', 'type': 2, 'hand_card_ranks': [1, 12, 6, 6, 6], 'bet': '275'}
{'hand': 'QAQJQ', 'type': 2, 'hand_card_ranks': [2, 0, 2, 12, 2], 'bet': '731'}
{'hand': 'QKKKK', 'type': 2, 'hand_card_ranks': [2, 1, 1, 1, 1], 'bet': '618'}
{'hand': 'QKJKK', 'type': 2, 'hand_card_ranks': [2, 1, 12, 1, 1], 'bet': '770'}
{'hand': 'QQQTQ', 'type': 2, 'hand_card_ranks': [2, 2, 2, 3, 2], 'bet': '493'}
{'hand': 'QQQ7Q', 'type': 2, 'hand_card_ranks': [2, 2, 2, 6, 2], 'bet': '503'}
{'hand': 'QQ8QQ', 'type': 2, 'hand_card_ranks': [2, 2, 5, 2, 2], 'bet': '428'}
{'hand': 'QQ3JJ', 'type': 2, 'hand_card_ranks': [2, 2, 10, 12, 12], 'bet': '471'}
{'hand': 'QQ2QQ', 'type': 2, 'hand_card_ranks': [2, 2, 11, 2, 2], 'bet': '129'}
{'hand': 'Q8888', 'type': 2, 'hand_card_ranks': [2, 5, 5, 5, 5], 'bet': '124'}
{'hand': 'Q5QQQ', 'type': 2, 'hand_card_ranks': [2, 8, 2, 2, 2], 'bet': '681'}
{'hand': 'QJQ6Q', 'type': 2, 'hand_card_ranks': [2, 12, 2, 7, 2], 'bet': '540'}
{'hand': 'QJ666', 'type': 2, 'hand_card_ranks': [2, 12, 7, 7, 7], 'bet': '504'}
{'hand': 'TKKKK', 'type': 2, 'hand_card_ranks': [3, 1, 1, 1, 1], 'bet': '291'}
{'hand': 'TKKKJ', 'type': 2, 'hand_card_ranks': [3, 1, 1, 1, 12], 'bet': '680'}
{'hand': 'TTATT', 'type': 2, 'hand_card_ranks': [3, 3, 0, 3, 3], 'bet': '368'}
{'hand': 'TTQTJ', 'type': 2, 'hand_card_ranks': [3, 3, 2, 3, 12], 'bet': '852'}
{'hand': 'TTTT3', 'type': 2, 'hand_card_ranks': [3, 3, 3, 3, 10], 'bet': '280'}
{'hand': 'TTT7T', 'type': 2, 'hand_card_ranks': [3, 3, 3, 6, 3], 'bet': '534'}
{'hand': 'TT6TT', 'type': 2, 'hand_card_ranks': [3, 3, 7, 3, 3], 'bet': '778'}
{'hand': 'TT2TT', 'type': 2, 'hand_card_ranks': [3, 3, 11, 3, 3], 'bet': '590'}
{'hand': 'T9999', 'type': 2, 'hand_card_ranks': [3, 4, 4, 4, 4], 'bet': '794'}
{'hand': 'T8TTT', 'type': 2, 'hand_card_ranks': [3, 5, 3, 3, 3], 'bet': '323'}
{'hand': 'T5TTT', 'type': 2, 'hand_card_ranks': [3, 8, 3, 3, 3], 'bet': '996'}
{'hand': 'T5555', 'type': 2, 'hand_card_ranks': [3, 8, 8, 8, 8], 'bet': '815'}
{'hand': 'T2222', 'type': 2, 'hand_card_ranks': [3, 11, 11, 11, 11], 'bet': '450'}
{'hand': 'TJTT8', 'type': 2, 'hand_card_ranks': [3, 12, 3, 3, 5], 'bet': '56'}
{'hand': '9TTTT', 'type': 2, 'hand_card_ranks': [4, 3, 3, 3, 3], 'bet': '411'}
{'hand': '99T9J', 'type': 2, 'hand_card_ranks': [4, 4, 3, 4, 12], 'bet': '234'}
{'hand': '9999K', 'type': 2, 'hand_card_ranks': [4, 4, 4, 4, 1], 'bet': '840'}
{'hand': '99998', 'type': 2, 'hand_card_ranks': [4, 4, 4, 4, 5], 'bet': '830'}
{'hand': '99399', 'type': 2, 'hand_card_ranks': [4, 4, 10, 4, 4], 'bet': '176'}
{'hand': '993J9', 'type': 2, 'hand_card_ranks': [4, 4, 10, 12, 4], 'bet': '408'}
{'hand': '9JJ49', 'type': 2, 'hand_card_ranks': [4, 12, 12, 9, 4], 'bet': '117'}
{'hand': '8Q88J', 'type': 2, 'hand_card_ranks': [5, 2, 5, 5, 12], 'bet': '177'}
{'hand': '899J9', 'type': 2, 'hand_card_ranks': [5, 4, 4, 12, 4], 'bet': '507'}
{'hand': '88988', 'type': 2, 'hand_card_ranks': [5, 5, 4, 5, 5], 'bet': '101'}
{'hand': '88884', 'type': 2, 'hand_card_ranks': [5, 5, 5, 5, 9], 'bet': '468'}
{'hand': '88868', 'type': 2, 'hand_card_ranks': [5, 5, 5, 7, 5], 'bet': '148'}
{'hand': '888JK', 'type': 2, 'hand_card_ranks': [5, 5, 5, 12, 1], 'bet': '639'}
{'hand': '888J6', 'type': 2, 'hand_card_ranks': [5, 5, 5, 12, 7], 'bet': '893'}
{'hand': '88588', 'type': 2, 'hand_card_ranks': [5, 5, 8, 5, 5], 'bet': '474'}
{'hand': '88388', 'type': 2, 'hand_card_ranks': [5, 5, 10, 5, 5], 'bet': '965'}
{'hand': '88J28', 'type': 2, 'hand_card_ranks': [5, 5, 12, 11, 5], 'bet': '528'}
{'hand': '8333J', 'type': 2, 'hand_card_ranks': [5, 10, 10, 10, 12], 'bet': '238'}
{'hand': '7QJ77', 'type': 2, 'hand_card_ranks': [6, 2, 12, 6, 6], 'bet': '990'}
{'hand': '79999', 'type': 2, 'hand_card_ranks': [6, 4, 4, 4, 4], 'bet': '292'}
{'hand': '78888', 'type': 2, 'hand_card_ranks': [6, 5, 5, 5, 5], 'bet': '850'}
{'hand': '78777', 'type': 2, 'hand_card_ranks': [6, 5, 6, 6, 6], 'bet': '891'}
{'hand': '77A77', 'type': 2, 'hand_card_ranks': [6, 6, 0, 6, 6], 'bet': '312'}
{'hand': '77Q77', 'type': 2, 'hand_card_ranks': [6, 6, 2, 6, 6], 'bet': '78'}
{'hand': '77797', 'type': 2, 'hand_card_ranks': [6, 6, 6, 4, 6], 'bet': '957'}
{'hand': '7777T', 'type': 2, 'hand_card_ranks': [6, 6, 6, 6, 3], 'bet': '18'}
{'hand': '77776', 'type': 2, 'hand_card_ranks': [6, 6, 6, 6, 7], 'bet': '200'}
{'hand': '77773', 'type': 2, 'hand_card_ranks': [6, 6, 6, 6, 10], 'bet': '378'}
{'hand': '77757', 'type': 2, 'hand_card_ranks': [6, 6, 6, 8, 6], 'bet': '249'}
{'hand': '777JT', 'type': 2, 'hand_card_ranks': [6, 6, 6, 12, 3], 'bet': '970'}
{'hand': '77J37', 'type': 2, 'hand_card_ranks': [6, 6, 12, 10, 6], 'bet': '342'}
{'hand': '74444', 'type': 2, 'hand_card_ranks': [6, 9, 9, 9, 9], 'bet': '10'}
{'hand': '6AJAA', 'type': 2, 'hand_card_ranks': [7, 0, 12, 0, 0], 'bet': '29'}
{'hand': '688JJ', 'type': 2, 'hand_card_ranks': [7, 5, 5, 12, 12], 'bet': '462'}
{'hand': '66966', 'type': 2, 'hand_card_ranks': [7, 7, 4, 7, 7], 'bet': '787'}
{'hand': '66766', 'type': 2, 'hand_card_ranks': [7, 7, 6, 7, 7], 'bet': '968'}
{'hand': '6666T', 'type': 2, 'hand_card_ranks': [7, 7, 7, 7, 3], 'bet': '284'}
{'hand': '66J76', 'type': 2, 'hand_card_ranks': [7, 7, 12, 6, 7], 'bet': '110'}
{'hand': '64444', 'type': 2, 'hand_card_ranks': [7, 9, 9, 9, 9], 'bet': '83'}
{'hand': '62222', 'type': 2, 'hand_card_ranks': [7, 11, 11, 11, 11], 'bet': '325'}
{'hand': '6JTTT', 'type': 2, 'hand_card_ranks': [7, 12, 3, 3, 3], 'bet': '994'}
{'hand': '6J966', 'type': 2, 'hand_card_ranks': [7, 12, 4, 7, 7], 'bet': '170'}
{'hand': '6J555', 'type': 2, 'hand_card_ranks': [7, 12, 8, 8, 8], 'bet': '383'}
{'hand': '5AAAA', 'type': 2, 'hand_card_ranks': [8, 0, 0, 0, 0], 'bet': '285'}
{'hand': '5A555', 'type': 2, 'hand_card_ranks': [8, 0, 8, 8, 8], 'bet': '217'}
{'hand': '5A55J', 'type': 2, 'hand_card_ranks': [8, 0, 8, 8, 12], 'bet': '357'}
{'hand': '5KKKK', 'type': 2, 'hand_card_ranks': [8, 1, 1, 1, 1], 'bet': '276'}
{'hand': '595J5', 'type': 2, 'hand_card_ranks': [8, 4, 8, 12, 8], 'bet': '63'}
{'hand': '588J8', 'type': 2, 'hand_card_ranks': [8, 5, 5, 12, 5], 'bet': '630'}
{'hand': '57J55', 'type': 2, 'hand_card_ranks': [8, 6, 12, 8, 8], 'bet': '700'}
{'hand': '55Q55', 'type': 2, 'hand_card_ranks': [8, 8, 2, 8, 8], 'bet': '191'}
{'hand': '555K5', 'type': 2, 'hand_card_ranks': [8, 8, 8, 1, 8], 'bet': '223'}
{'hand': '555QJ', 'type': 2, 'hand_card_ranks': [8, 8, 8, 2, 12], 'bet': '266'}
{'hand': '55595', 'type': 2, 'hand_card_ranks': [8, 8, 8, 4, 8], 'bet': '799'}
{'hand': '55557', 'type': 2, 'hand_card_ranks': [8, 8, 8, 8, 6], 'bet': '74'}
{'hand': '55552', 'type': 2, 'hand_card_ranks': [8, 8, 8, 8, 11], 'bet': '53'}
{'hand': '4QQJQ', 'type': 2, 'hand_card_ranks': [9, 2, 2, 12, 2], 'bet': '635'}
{'hand': '49999', 'type': 2, 'hand_card_ranks': [9, 4, 4, 4, 4], 'bet': '366'}
{'hand': '48444', 'type': 2, 'hand_card_ranks': [9, 5, 9, 9, 9], 'bet': '315'}
{'hand': '45J55', 'type': 2, 'hand_card_ranks': [9, 8, 12, 8, 8], 'bet': '556'}
{'hand': '448J4', 'type': 2, 'hand_card_ranks': [9, 9, 5, 12, 9], 'bet': '93'}
{'hand': '444Q4', 'type': 2, 'hand_card_ranks': [9, 9, 9, 2, 9], 'bet': '196'}
{'hand': '44454', 'type': 2, 'hand_card_ranks': [9, 9, 9, 8, 9], 'bet': '222'}
{'hand': '4444A', 'type': 2, 'hand_card_ranks': [9, 9, 9, 9, 0], 'bet': '543'}
{'hand': '4333J', 'type': 2, 'hand_card_ranks': [9, 10, 10, 10, 12], 'bet': '617'}
{'hand': '36333', 'type': 2, 'hand_card_ranks': [10, 7, 10, 10, 10], 'bet': '547'}
{'hand': '35555', 'type': 2, 'hand_card_ranks': [10, 8, 8, 8, 8], 'bet': '261'}
{'hand': '3373J', 'type': 2, 'hand_card_ranks': [10, 10, 6, 10, 12], 'bet': '456'}
{'hand': '33433', 'type': 2, 'hand_card_ranks': [10, 10, 9, 10, 10], 'bet': '789'}
{'hand': '333Q3', 'type': 2, 'hand_card_ranks': [10, 10, 10, 2, 10], 'bet': '152'}
{'hand': '333TJ', 'type': 2, 'hand_card_ranks': [10, 10, 10, 3, 12], 'bet': '643'}
{'hand': '33338', 'type': 2, 'hand_card_ranks': [10, 10, 10, 10, 5], 'bet': '670'}
{'hand': '33337', 'type': 2, 'hand_card_ranks': [10, 10, 10, 10, 6], 'bet': '418'}
{'hand': '33323', 'type': 2, 'hand_card_ranks': [10, 10, 10, 11, 10], 'bet': '187'}
{'hand': '3J33A', 'type': 2, 'hand_card_ranks': [10, 12, 10, 10, 0], 'bet': '347'}
{'hand': '2TTTJ', 'type': 2, 'hand_card_ranks': [11, 3, 3, 3, 12], 'bet': '959'}
{'hand': '29999', 'type': 2, 'hand_card_ranks': [11, 4, 4, 4, 4], 'bet': '44'}
{'hand': '28888', 'type': 2, 'hand_card_ranks': [11, 5, 5, 5, 5], 'bet': '62'}
{'hand': '28J2J', 'type': 2, 'hand_card_ranks': [11, 5, 12, 11, 12], 'bet': '593'}
{'hand': '26666', 'type': 2, 'hand_card_ranks': [11, 7, 7, 7, 7], 'bet': '348'}
{'hand': '25J22', 'type': 2, 'hand_card_ranks': [11, 8, 12, 11, 11], 'bet': '657'}
{'hand': '24444', 'type': 2, 'hand_card_ranks': [11, 9, 9, 9, 9], 'bet': '848'}
{'hand': '22AJ2', 'type': 2, 'hand_card_ranks': [11, 11, 0, 12, 11], 'bet': '274'}
{'hand': '22K22', 'type': 2, 'hand_card_ranks': [11, 11, 1, 11, 11], 'bet': '155'}
{'hand': '22KJ2', 'type': 2, 'hand_card_ranks': [11, 11, 1, 12, 11], 'bet': '27'}
{'hand': '2232J', 'type': 2, 'hand_card_ranks': [11, 11, 10, 11, 12], 'bet': '687'}
{'hand': '2222Q', 'type': 2, 'hand_card_ranks': [11, 11, 11, 11, 2], 'bet': '758'}
{'hand': '22228', 'type': 2, 'hand_card_ranks': [11, 11, 11, 11, 5], 'bet': '382'}
{'hand': '22J29', 'type': 2, 'hand_card_ranks': [11, 11, 12, 11, 4], 'bet': '201'}
{'hand': '22JJ3', 'type': 2, 'hand_card_ranks': [11, 11, 12, 12, 10], 'bet': '169'}
{'hand': 'JAJKA', 'type': 2, 'hand_card_ranks': [12, 0, 12, 1, 0], 'bet': '263'}
{'hand': 'JKK4J', 'type': 2, 'hand_card_ranks': [12, 1, 1, 9, 12], 'bet': '932'}
{'hand': 'JK333', 'type': 2, 'hand_card_ranks': [12, 1, 10, 10, 10], 'bet': '99'}
{'hand': 'JQAAA', 'type': 2, 'hand_card_ranks': [12, 2, 0, 0, 0], 'bet': '575'}
{'hand': 'JQ999', 'type': 2, 'hand_card_ranks': [12, 2, 4, 4, 4], 'bet': '831'}
{'hand': 'JTTT7', 'type': 2, 'hand_card_ranks': [12, 3, 3, 3, 6], 'bet': '416'}
{'hand': 'JTTT5', 'type': 2, 'hand_card_ranks': [12, 3, 3, 3, 8], 'bet': '335'}
{'hand': 'J88J7', 'type': 2, 'hand_card_ranks': [12, 5, 5, 12, 6], 'bet': '116'}
{'hand': 'J7KJK', 'type': 2, 'hand_card_ranks': [12, 6, 1, 12, 1], 'bet': '338'}
{'hand': 'J6999', 'type': 2, 'hand_card_ranks': [12, 7, 4, 4, 4], 'bet': '26'}
{'hand': 'J5KJK', 'type': 2, 'hand_card_ranks': [12, 8, 1, 12, 1], 'bet': '841'}
{'hand': 'J5999', 'type': 2, 'hand_card_ranks': [12, 8, 4, 4, 4], 'bet': '166'}
{'hand': 'J5J5K', 'type': 2, 'hand_card_ranks': [12, 8, 12, 8, 1], 'bet': '667'}
{'hand': 'J4K44', 'type': 2, 'hand_card_ranks': [12, 9, 1, 9, 9], 'bet': '870'}
{'hand': 'J4J77', 'type': 2, 'hand_card_ranks': [12, 9, 12, 6, 6], 'bet': '647'}
{'hand': 'J3353', 'type': 2, 'hand_card_ranks': [12, 10, 10, 8, 10], 'bet': '920'}
{'hand': 'J2282', 'type': 2, 'hand_card_ranks': [12, 11, 11, 5, 11], 'bet': '992'}
{'hand': 'JJ464', 'type': 2, 'hand_card_ranks': [12, 12, 9, 7, 9], 'bet': '350'}
{'hand': 'AAA33', 'type': 3, 'hand_card_ranks': [0, 0, 0, 10, 10], 'bet': '180'}
{'hand': 'AAQQA', 'type': 3, 'hand_card_ranks': [0, 0, 2, 2, 0], 'bet': '23'}
{'hand': 'AA8A8', 'type': 3, 'hand_card_ranks': [0, 0, 5, 0, 5], 'bet': '626'}
{'hand': 'AA888', 'type': 3, 'hand_card_ranks': [0, 0, 5, 5, 5], 'bet': '885'}
{'hand': 'AKKKA', 'type': 3, 'hand_card_ranks': [0, 1, 1, 1, 0], 'bet': '79'}
{'hand': 'A6AJ6', 'type': 3, 'hand_card_ranks': [0, 7, 0, 12, 7], 'bet': '96'}
{'hand': 'A5A55', 'type': 3, 'hand_card_ranks': [0, 8, 0, 8, 8], 'bet': '627'}
{'hand': 'A33A3', 'type': 3, 'hand_card_ranks': [0, 10, 10, 0, 10], 'bet': '641'}
{'hand': 'A222A', 'type': 3, 'hand_card_ranks': [0, 11, 11, 11, 0], 'bet': '298'}
{'hand': 'KKAJA', 'type': 3, 'hand_card_ranks': [1, 1, 0, 12, 0], 'bet': '230'}
{'hand': 'KKK88', 'type': 3, 'hand_card_ranks': [1, 1, 1, 5, 5], 'bet': '886'}
{'hand': 'KTTKK', 'type': 3, 'hand_card_ranks': [1, 3, 3, 1, 1], 'bet': '19'}
{'hand': 'K7K7K', 'type': 3, 'hand_card_ranks': [1, 6, 1, 6, 1], 'bet': '738'}
{'hand': 'K7JK7', 'type': 3, 'hand_card_ranks': [1, 6, 12, 1, 6], 'bet': '464'}
{'hand': 'K666K', 'type': 3, 'hand_card_ranks': [1, 7, 7, 7, 1], 'bet': '278'}
{'hand': 'K5K5K', 'type': 3, 'hand_card_ranks': [1, 8, 1, 8, 1], 'bet': '77'}
{'hand': 'K4K4K', 'type': 3, 'hand_card_ranks': [1, 9, 1, 9, 1], 'bet': '352'}
{'hand': 'K4K44', 'type': 3, 'hand_card_ranks': [1, 9, 1, 9, 9], 'bet': '498'}
{'hand': 'K3KK3', 'type': 3, 'hand_card_ranks': [1, 10, 1, 1, 10], 'bet': '677'}
{'hand': 'K33K3', 'type': 3, 'hand_card_ranks': [1, 10, 10, 1, 10], 'bet': '879'}
{'hand': 'QAQAQ', 'type': 3, 'hand_card_ranks': [2, 0, 2, 0, 2], 'bet': '454'}
{'hand': 'QAQAJ', 'type': 3, 'hand_card_ranks': [2, 0, 2, 0, 12], 'bet': '806'}
{'hand': 'QKQKQ', 'type': 3, 'hand_card_ranks': [2, 1, 2, 1, 2], 'bet': '143'}
{'hand': 'QQ8Q8', 'type': 3, 'hand_card_ranks': [2, 2, 5, 2, 5], 'bet': '195'}
{'hand': 'QQ777', 'type': 3, 'hand_card_ranks': [2, 2, 6, 6, 6], 'bet': '589'}
{'hand': 'QQ4J4', 'type': 3, 'hand_card_ranks': [2, 2, 9, 12, 9], 'bet': '546'}
{'hand': 'Q7Q7Q', 'type': 3, 'hand_card_ranks': [2, 6, 2, 6, 2], 'bet': '755'}
{'hand': 'Q44QQ', 'type': 3, 'hand_card_ranks': [2, 9, 9, 2, 2], 'bet': '268'}
{'hand': 'QJKQK', 'type': 3, 'hand_card_ranks': [2, 12, 1, 2, 1], 'bet': '757'}
{'hand': 'TATAA', 'type': 3, 'hand_card_ranks': [3, 0, 3, 0, 0], 'bet': '134'}
{'hand': 'TKKJT', 'type': 3, 'hand_card_ranks': [3, 1, 1, 12, 3], 'bet': '4'}
{'hand': 'TTAAT', 'type': 3, 'hand_card_ranks': [3, 3, 0, 0, 3], 'bet': '926'}
{'hand': 'TT888', 'type': 3, 'hand_card_ranks': [3, 3, 5, 5, 5], 'bet': '429'}
{'hand': 'TT44T', 'type': 3, 'hand_card_ranks': [3, 3, 9, 9, 3], 'bet': '602'}
{'hand': 'T7T77', 'type': 3, 'hand_card_ranks': [3, 6, 3, 6, 6], 'bet': '301'}
{'hand': 'T7J7T', 'type': 3, 'hand_card_ranks': [3, 6, 12, 6, 3], 'bet': '59'}
{'hand': 'T66JT', 'type': 3, 'hand_card_ranks': [3, 7, 7, 12, 3], 'bet': '640'}
{'hand': 'T44T4', 'type': 3, 'hand_card_ranks': [3, 9, 9, 3, 9], 'bet': '319'}
{'hand': 'T2T22', 'type': 3, 'hand_card_ranks': [3, 11, 3, 11, 11], 'bet': '422'}
{'hand': 'TJT22', 'type': 3, 'hand_card_ranks': [3, 12, 3, 11, 11], 'bet': '960'}
{'hand': '9A9AA', 'type': 3, 'hand_card_ranks': [4, 0, 4, 0, 0], 'bet': '535'}
{'hand': '9K99K', 'type': 3, 'hand_card_ranks': [4, 1, 4, 4, 1], 'bet': '961'}
{'hand': '9TT9T', 'type': 3, 'hand_card_ranks': [4, 3, 3, 4, 3], 'bet': '615'}
{'hand': '99QQQ', 'type': 3, 'hand_card_ranks': [4, 4, 2, 2, 2], 'bet': '412'}
{'hand': '99Q9Q', 'type': 3, 'hand_card_ranks': [4, 4, 2, 4, 2], 'bet': '264'}
{'hand': '996J6', 'type': 3, 'hand_card_ranks': [4, 4, 7, 12, 7], 'bet': '875'}
{'hand': '97799', 'type': 3, 'hand_card_ranks': [4, 6, 6, 4, 4], 'bet': '46'}
{'hand': '94J49', 'type': 3, 'hand_card_ranks': [4, 9, 12, 9, 4], 'bet': '42'}
{'hand': '9J292', 'type': 3, 'hand_card_ranks': [4, 12, 11, 4, 11], 'bet': '796'}
{'hand': '8AA8J', 'type': 3, 'hand_card_ranks': [5, 0, 0, 5, 12], 'bet': '633'}
{'hand': '89998', 'type': 3, 'hand_card_ranks': [5, 4, 4, 4, 5], 'bet': '964'}
{'hand': '88KK8', 'type': 3, 'hand_card_ranks': [5, 5, 1, 1, 5], 'bet': '665'}
{'hand': '88Q8Q', 'type': 3, 'hand_card_ranks': [5, 5, 2, 5, 2], 'bet': '895'}
{'hand': '88877', 'type': 3, 'hand_card_ranks': [5, 5, 5, 6, 6], 'bet': '923'}
{'hand': '88777', 'type': 3, 'hand_card_ranks': [5, 5, 6, 6, 6], 'bet': '737'}
{'hand': '88585', 'type': 3, 'hand_card_ranks': [5, 5, 8, 5, 8], 'bet': '339'}
{'hand': '86866', 'type': 3, 'hand_card_ranks': [5, 7, 5, 7, 7], 'bet': '361'}
{'hand': '82288', 'type': 3, 'hand_card_ranks': [5, 11, 11, 5, 5], 'bet': '797'}
{'hand': '8JKK8', 'type': 3, 'hand_card_ranks': [5, 12, 1, 1, 5], 'bet': '642'}
{'hand': '8J778', 'type': 3, 'hand_card_ranks': [5, 12, 6, 6, 5], 'bet': '917'}
{'hand': '8J558', 'type': 3, 'hand_card_ranks': [5, 12, 8, 8, 5], 'bet': '111'}
{'hand': '7KK77', 'type': 3, 'hand_card_ranks': [6, 1, 1, 6, 6], 'bet': '661'}
{'hand': '77AAA', 'type': 3, 'hand_card_ranks': [6, 6, 0, 0, 0], 'bet': '804'}
{'hand': '77TTT', 'type': 3, 'hand_card_ranks': [6, 6, 3, 3, 3], 'bet': '631'}
{'hand': '77333', 'type': 3, 'hand_card_ranks': [6, 6, 10, 10, 10], 'bet': '646'}
{'hand': '76776', 'type': 3, 'hand_card_ranks': [6, 7, 6, 6, 7], 'bet': '108'}
{'hand': '7676J', 'type': 3, 'hand_card_ranks': [6, 7, 6, 7, 12], 'bet': '387'}
{'hand': '75575', 'type': 3, 'hand_card_ranks': [6, 8, 8, 6, 8], 'bet': '621'}
